,,,,,,,,,,,,,,,,,0,0,0,1,2,3,3,6,6,8,8,8,8,8,8,8,
,,,,,,,,,,,,,,,,,RECEIVER,RECEIVER,RECEIVER,TEMPERATURE SENSOR,RPM SENSOR,ALTITUDE SENSOR,ALTITUDE SENSOR,VOLTAGE SENSOR,VOLTAGE SENSOR,GPS,GPS,GPS,GPS,GPS,GPS,GPS,
TIME,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,BATTERY,EXTERNAL BATTERY,STATUS,TEMPERATURE,ROTATION,ALTITUDE,VARIOMETER,BATTERY,EXT. BATT.,DISTANCE,SPEED,ALTITUDE,VARIOMETER,LATITUDE,LONGITUDE,TIME(UTC),
1570,-15,-2,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,   94, 72,   62,+164,N 33:26.6060,W111:35.3968,19:21:01,
1620,-14,-2,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,   94, 72,   62,+164,N 33:26.6060,W111:35.3968,19:21:01,
1680,-12,-2,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,   94, 72,   62,+164,N 33:26.6060,W111:35.3968,19:21:01,
1730,-4,-2,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,   94, 72,   62,+164,N 33:26.6060,W111:35.3968,19:21:01,
1790,2,-2,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,   94, 72,   62,+164,N 33:26.6060,W111:35.3968,19:21:01,
1840,4,-2,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,   94, 72,   62,+164,N 33:26.6060,W111:35.3968,19:21:01,
1890,5,-2,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,   94, 72,   62,+164,N 33:26.6060,W111:35.3968,19:21:01,
1950,5,-2,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,   94, 72,   62,+164,N 33:26.6060,W111:35.3968,19:21:01,
2000,5,-2,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,   94, 72,   62,+164,N 33:26.6060,W111:35.3968,19:21:01,
2060,5,-2,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,   94, 72,   62,+164,N 33:26.6060,W111:35.3968,19:21:01,
2120,5,-2,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,   94, 72,   62,+164,N 33:26.6060,W111:35.3968,19:21:01,
2170,5,-2,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,   94, 72,   62,+164,N 33:26.6060,W111:35.3968,19:21:01,
2230,5,-2,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,   94, 72,   62,+164,N 33:26.6060,W111:35.3968,19:21:01,
2280,6,-2,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,   94, 72,   62,+164,N 33:26.6060,W111:35.3968,19:21:01,
2340,6,-2,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  122, 74,   95,+182,N 33:26.6137,W111:35.4159,19:21:02,
2400,6,-2,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  145, 74,   95,+182,N 33:26.6137,W111:35.4159,19:21:02,
2450,11,-2,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  145, 74,   95,+182,N 33:26.6137,W111:35.4159,19:21:02,
2510,21,-2,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  145, 74,   95,+182,N 33:26.6137,W111:35.4159,19:21:02,
2570,30,-2,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  145, 74,   95,+182,N 33:26.6137,W111:35.4159,19:21:02,
2640,29,-2,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  145, 74,   95,+182,N 33:26.6137,W111:35.4159,19:21:02,
2700,17,-2,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  145, 74,   95,+182,N 33:26.6137,W111:35.4159,19:21:02,
2750,6,-2,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  145, 74,   95,+182,N 33:26.6137,W111:35.4159,19:21:02,
2800,6,-2,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  145, 74,   95,+182,N 33:26.6137,W111:35.4159,19:21:02,
2860,6,-2,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  145, 74,   95,+182,N 33:26.6137,W111:35.4159,19:21:02,
2920,6,-2,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  145, 74,   95,+182,N 33:26.6137,W111:35.4159,19:21:02,
2980,6,-2,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  145, 74,   95,+182,N 33:26.6137,W111:35.4159,19:21:02,
3030,5,-2,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  145, 74,   95,+182,N 33:26.6137,W111:35.4159,19:21:02,
3100,0,-4,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  145, 74,   95,+182,N 33:26.6137,W111:35.4159,19:21:02,
