,,,,,,,,,,,,,,,,,0,0,0,1,2,3,3,6,6,8,8,8,8,8,8,8,
,,,,,,,,,,,,,,,,,RECEIVER,RECEIVER,RECEIVER,TEMPERATURE SENSOR,RPM SENSOR,ALTITUDE SENSOR,ALTITUDE SENSOR,VOLTAGE SENSOR,VOLTAGE SENSOR,GPS,GPS,GPS,GPS,GPS,GPS,GPS,
TIME,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,BATTERY,EXTERNAL BATTERY,STATUS,TEMPERATURE,ROTATION,ALTITUDE,VARIOMETER,BATTERY,EXT. BATT.,DISTANCE,SPEED,ALTITUDE,VARIOMETER,LATITUDE,LONGITUDE,TIME(UTC),
135200,-5,-9,16,8,-100,-23,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  142,109,   -3,  -1,N 33:26.6730,W111:35.3124,18:11:50,
140190,-9,-6,0,8,-100,1,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,   28, 96,  -25,  -1,N 33:26.6201,W111:35.3763,18:11:55,
145200,-10,-12,0,8,-100,1,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,   84,100,  -12,  +2,N 33:26.6361,W111:35.4412,18:12:00,
150220,-9,2,-17,8,-100,31,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,   94,118,  -24,   0,N 33:26.6782,W111:35.3686,18:12:05,
155230,-9,-6,-17,8,-100,31,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  230,119,  -25,  -3,N 33:26.7042,W111:35.2703,18:12:10,
160230,-9,-6,-30,8,-100,54,0,0,0,0,0,0,-136,-136,0,0,  4.9,  0.0,3,---,     0,---,---,---,---,  323, 91,  -29,   0,N 33:26.6834,W111:35.1911,18:12:15,
165230,-30,-12,-51,7,-100,92,0,0,0,0,0,0,-136,-136,0,0,  4.9,  0.0,3,---,     0,---,---,---,---,  309, 69,  -37,  -3,N 33:26.6273,W111:35.1902,18:12:20,
170240,0,1,-48,8,-100,86,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  246, 56,  -49,  -2,N 33:26.6074,W111:35.2348,18:12:25,
175230,4,-2,-55,8,-100,100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  190, 48,  -56,   0,N 33:26.5951,W111:35.2782,18:12:30,
180240,-9,-11,-55,-32,-100,100,0,0,0,0,0,0,-136,-136,0,0,  4.9,  0.0,3,---,     0,---,---,---,---,  145, 32,  -60,   0,N 33:26.5923,W111:35.3156,18:12:35,
185260,-12,-38,-42,1,-100,76,0,0,0,0,0,0,-136,-136,0,0,  4.9,  0.0,3,---,     0,---,---,---,---,  139, 10,  -61,   0,N 33:26.5840,W111:35.3303,18:12:40,
